P10	已核销/完成
P1	已核销/完成
P2	待排期
P3	部分关闭、未核销
P4	待对账、未核销
P5	已核销/完成
P6	已核销/完成
P7	已核销/完成
P8	已核销/完成
P9	待排期
P48	已核销/完成
P14	待排期
P24	已核销/完成
P25	待排期
P11	待决策
P12	已核销/完成
P15	待设计
P16	待设计
P17	待开发
P18	未开发候选
P19	未开发候选
P20	未开发候选
P21	部分关闭、未核销
P22	仅骨架
P51	已核销/完成
P52	已核销/完成
P53	待Owner确认
P54	待规划
P55	待规划
P56	已核销/完成
P57	已核销/完成
P58	已核销/完成
P26	未排期
P27	未排期
P28	已核销/完成
P29	未排期
P30	未排期
P31	未排期
P32	已核销/完成
P33	未排期
P34	待对账、未核销
P35	待对账、未核销
P36	已核销/完成
P37	待对账、未核销
P38	待对账、未核销
P39	待对账、未核销
P40	未排期
P41	未排期
P42	未排期
P43	未排期
P44	未排期
P45	已核销/完成
P46	已核销/完成
P47	未排期
P48	已核销/完成
P49	未排期
P50	未排期
